2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-10 00:10:04 +0800 CST INVOIC_5454_20171210001005_1.edi H:/Invoice file/2017/12/INVOIC_5454_20171210001005_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-10 00:10:04 +0800 CST INVOIC_5455_20171210001005_2.edi H:/Invoice file/2017/12/INVOIC_5455_20171210001005_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-11 00:10:04 +0800 CST INVOIC_5456_20171211001005_1.edi H:/Invoice file/2017/12/INVOIC_5456_20171211001005_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-11 00:10:04 +0800 CST INVOIC_5457_20171211001005_2.edi H:/Invoice file/2017/12/INVOIC_5457_20171211001005_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-12 00:10:04 +0800 CST INVOIC_5458_20171212001006_1.edi H:/Invoice file/2017/12/INVOIC_5458_20171212001006_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-12 00:10:04 +0800 CST INVOIC_5459_20171212001006_2.edi H:/Invoice file/2017/12/INVOIC_5459_20171212001006_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-12 00:10:04 +0800 CST INVOIC_5460_20171212001006_3.edi H:/Invoice file/2017/12/INVOIC_5460_20171212001006_3.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-12 00:10:04 +0800 CST INVOIC_5461_20171212001006_4.edi H:/Invoice file/2017/12/INVOIC_5461_20171212001006_4.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-12 00:10:06 +0800 CST INVOIC_5462_20171212001006_5.edi H:/Invoice file/2017/12/INVOIC_5462_20171212001006_5.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-12 00:10:06 +0800 CST INVOIC_5463_20171212001006_6.edi H:/Invoice file/2017/12/INVOIC_5463_20171212001006_6.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:48 +0800 CST INVOIC_5464_20171213001150_1.edi H:/Invoice file/2017/12/INVOIC_5464_20171213001150_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:48 +0800 CST INVOIC_5465_20171213001150_2.edi H:/Invoice file/2017/12/INVOIC_5465_20171213001150_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:48 +0800 CST INVOIC_5466_20171213001150_3.edi H:/Invoice file/2017/12/INVOIC_5466_20171213001150_3.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:50 +0800 CST INVOIC_5467_20171213001150_4.edi H:/Invoice file/2017/12/INVOIC_5467_20171213001150_4.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:50 +0800 CST INVOIC_5468_20171213001150_5.edi H:/Invoice file/2017/12/INVOIC_5468_20171213001150_5.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:50 +0800 CST INVOIC_5469_20171213001150_6.edi H:/Invoice file/2017/12/INVOIC_5469_20171213001150_6.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:50 +0800 CST INVOIC_5470_20171213001150_7.edi H:/Invoice file/2017/12/INVOIC_5470_20171213001150_7.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:50 +0800 CST INVOIC_5471_20171213001150_8.edi H:/Invoice file/2017/12/INVOIC_5471_20171213001150_8.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:50 +0800 CST INVOIC_5472_20171213001150_9.edi H:/Invoice file/2017/12/INVOIC_5472_20171213001150_9.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-13 00:11:50 +0800 CST INVOIC_5473_20171213001150_10.edi H:/Invoice file/2017/12/INVOIC_5473_20171213001150_10.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-14 00:10:04 +0800 CST INVOIC_5474_20171214001005_1.edi H:/Invoice file/2017/12/INVOIC_5474_20171214001005_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-14 00:10:04 +0800 CST INVOIC_5475_20171214001005_2.edi H:/Invoice file/2017/12/INVOIC_5475_20171214001005_2.edi
